triplet_id,relation_family,condition,anchor_hash,anchor_url,anchor_caption,positive_hash,positive_url,positive_caption,negative_hash,negative_url,negative_caption
control_f7604670,attribute_priority_control,control,f76046709c9a5830a15b46df00e4129f,https://i.pinimg.com/736x/6f/7b/4b/6f7b4bdd995c42f7690cd072e355c15d.jpg,Animals sporting handmade {Clothing} with unique {Designs} and {Colors}.,e0a675eccdee7edc34b1dfce71b01305,https://img.izismile.com/img/img2/20090929/bonus//5/dogs_stars_wars_11.jpg,Animals dressed up as famous {Characters} in creative {Costumes}.,df2d61bdfb1747cc312dc5364084fc0d,https://i.pinimg.com/736x/62/1c/e9/621ce9b3841ceb123fedf4a577cbf7f7--barn-wedding-photos-funny-wedding-photos.jpg,"""Creative use of {Group} people positioned in front of {Background} to form an artistic or whimsical composition."""
control_f0179de6,attribute_priority_control,control,f0179de6164d0122bdbf52bb279a776c,https://us.123rf.com/450wm/davidzydd/davidzydd1511/davidzydd151100577/47711231-stock-vector-charlotte-city-skyline-silhouette-multicolor-line-art.jpg?ver=6,A detailed outline of a {City Skyline} showcasing various {Buildings} in a vibrant {Color Palette}.,f7f2191179e226b24aa8a20d9297f0f5,https://cdn.shopify.com/s/files/1/2297/0353/products/United-States-Map-Sticker_600x.jpg?v=1553216844,"An artistic depiction of {Region}'s iconic symbols and landmarks arranged within the map outline, highlighted by diverse {Color} and {Details}.",efb0b0f0ec32a829a90eee37875c11e5,https://us.123rf.com/450wm/deagreez/deagreez1908/deagreez190808276/129431170-full-length-body-size-view-of-his-he-nice-attractive-stylish-funky-cheerful-cheery-glad-gray-haired-.jpg?ver=6,"Pictures showcasing {Person} in a {Color} environment, emphasizing their relaxed style and natural beauty."
control_edf23f69,attribute_priority_control,control,edf23f69af427b09355ed74545ec5e82,"https://ih1.redbubble.net/image.269068340.1696/raf,360x360,075,t,fafafa:ca443f4786.jpg",A charming illustration featuring anthropomorphic {Fruits} with expressive faces and playful personalities.,e710eb7f719dfdce8c721e39e1344b95,https://img.freepik.com/free-vector/fitness-vegetables-cartoon-characters_204595-327.jpg?size=626&ext=jpg,"Creative illustrations of {Vegetables} engaging in various {Activities}, showcasing unique interactions with objects like {Exercise Equipment} and {Sports}.",fc3068c41f6f9733fd94dd5e04cd39bb,https://us.123rf.com/450wm/bowie15/bowie151309/bowie15130900087/22776276-business-woman-aiming-using-bow-and-arrow.jpg?ver=6,Visuals of individuals aiming for {Target} with {Equipment}.
control_ea77f0de,attribute_priority_control,control,ea77f0defff205ac0521c660b352d894,https://img.izismile.com/img/img5/20120830/640/a_collection_of_strange_but_cute_drawings_640_high_45.jpg,"""Illustration of {Fruit} anthropomorphized, showcasing emotional interactions with other {Animals} in playful or human-like scenarios.""",f13f834f33aaa969e6fed6890ccb5243,https://img.freepik.com/free-vector/slice-watermelon-cartoon-vector_53876-76188.jpg?size=338&ext=jpg,"""Illustration of anthropomorphic {Fruit} with human-like features such as legs and facial expressions.""",ed3c7c91c841e2768bf9c713593b940a,https://i.pinimg.com/736x/76/68/aa/7668aac0a752cf8e4a7876984d592d91--tropical-christmas-trees-coastal-christmas.jpg,Creative fusion of {Tree} and unexpected {Seasonal Decorations} for a one-of-a-kind visual effect.
control_e931ad97,attribute_priority_control,control,e931ad974af313e1999d4d76a073da78,https://blog.feliway.com/hs-fs/hubfs/How%20To%20Stop%20Your%20Cat%20From%20Scratching%20the%20Carpet_2-2.jpg?width=1000&name=How%20To%20Stop%20Your%20Cat%20From%20Scratching%20the%20Carpet_2-2.jpg,Pictures showcasing {Cat} engaging with a {Scratching Post} on a {Surface}.,f9868284712a469955aeb5b9d08e0ceb,https://us.123rf.com/450wm/serkucher/serkucher1908/serkucher190800310/128646993-a-playful-kitty-hides-in-a-white-box-the-cat-yawns-isolated-on-a-white-background.jpg?ver=6,Surprised {Animal} peering out from inside a {Enclosure}.,f7b3ddc2bcca3461b9963a678c544437,https://www.stylishtrendy.com/wp-content/uploads/2013/11/Christmas-Party-Ideas-2013-2014_03.jpg,"Artistic designs of {Object} shaped like a sleeping figure, with details like {Color}, {Accessories}, and {Background}."
control_f6b27f58,attribute_priority_control,control,f6b27f58c459342d805416139ba7aaeb,http://cdn.shopify.com/s/files/1/0130/8422/products/red_fish_canvas-art-print_large.jpg?5855,"Images showcasing {Action} leading to {Result} to demonstrate progress, change, or departure from the norm.",e4fbe3964df1be508645bbb859b294c0,https://i.pinimg.com/736x/d2/38/bc/d238bc7337baa09ea7524102bec9d7b9.jpg,Creative representation of {Scene} with a {Fish} positioned in a {Water Environment}.,effa9ae0fa5da83de8d07260db84bcac,https://us.123rf.com/450wm/byrdyak/byrdyak1804/byrdyak180400002/98725698-360-degree-view-of-single-blossoming-tree-in-spring-on-rural-meadow.jpg?ver=6,"""360-degree view of {Landscapes} or {Structures} in a spherical panorama, showcasing {Scenery} from all angles."""
control_ec0753d7,attribute_priority_control,control,ec0753d78576da91a15bff7d7c9a7311,https://www.saalbach.com/stories-fotos/White%20Style/image-thumb__476952__lightbox-teaser-img/WhiteStyle_2016_Matt_Jones_2nd_place_Photo_Christoph_Laue.jpeg,Skilled riders perform daring {Stunt} on their {Bike} over a {Surface}.,f93304d0964a3be6e870fa1726901639,https://i2.wp.com/bikeaospedacos.com.br/wp-content/uploads/2021/10/red-bull-rampage-nesta-sexta-com-transmissao-ao-vivo-e-em-portugues-1.jpg?resize=980%2C400&ssl=1,"Stunts performed with {Bike} on uneven terrain, showcasing {Rider} in mid-air with an adventurous backdrop as the setting.",ef1941c85541f57045dd470aada081cd,https://us.123rf.com/450wm/alphaspirit/alphaspirit1510/alphaspirit151000185/47210548-executive-operates-with-simplicity-his-business-team.jpg?ver=6,Visuals of {Person} pointing to a hand-drawn {Scene/Concept} that reflects their {Thought/Idea}.
control_e22288fa,attribute_priority_control,control,e22288fadccfe610019bbd2edcd1e3c3,http://static.demilked.com/wp-content/uploads/2016/03/shelter-dogs-adopt-photo-project-humane-society-2.jpg,Different {Animals} showcasing unique {Expressions} and {Emotions} in their natural environments.,f5ad3175716acefc5b2599c2d4f213cb,http://static.boredpanda.com/blog/wp-content/uploads/2014/09/jimmy-choo-bull-terrier-illustrations-rafael-mantesso-6.jpg,Artistic fusion of a {Dog} and imaginative {Shape} for a playful and whimsical design.,fccb407244818cb4573be8075adedc73,https://www.interestinginsects.com/static/img/butterfly-hatching-730.jpg,A comprehensive portrayal of the {Living Organism}'s metamorphosis from its initial stage to its mature form through various transitional phases.
control_ecbe3667,attribute_priority_control,control,ecbe3667dbf9c95410aaae4a48d8deda,https://3.bp.blogspot.com/-pbVGXa3hM40/VPr7cqfVlAI/AAAAAAAACUA/wloDPnS6STM/s1600/pine00.jpg,"A stunning view from outer space of {Object}, showcasing its surroundings against the backdrop of Earth and the sun.",e63f6a2185c0dbf25915cd30dbd8f418,https://www.thoughtco.com/thmb/PmAWM3aTzS-GZi6YvtwOTooHp_0=/768x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apollo8-earthrise-clr-3000-3x2Nasa-5a92e427ff1b780037f909f7.jpg,"The {Celestial Body} captured from the vantage point of the {Spacecraft}, with a backdrop of the {Black Sky}.",f3477ded01f4c3c77447d2786c9658e9,https://s3.amazonaws.com/assets.cce.cornell.edu/slides/8369/image/sized/bugwood5382310-ppt.jpg?1413955310,Using {Coin} as a size reference for {Object}.
control_edd38ba0,attribute_priority_control,control,edd38ba03b58b3ad4fdce29ce6364c20,https://us.123rf.com/450wm/tai11/tai111506/tai11150601109/41360684-un-grand-groupe-de-personnes-dans-la-forme-de-symboles-abstraits-isol%C3%A9-fond-blanc-.jpg?ver=6,"Groups of {People} shaped into the letterforms {Letter 1}, {Letter 2}, {Letter 3} using a creative layout.",e699eb5f80a49467733cd08230692473,https://img3.stockfresh.com/files/c/cienpies/m/91/1921477_stock-photo-isolated-diversity-tree-hands.jpg,A tree design made from {Hands} in various {Colors} and {Positions}.,eda46f8ed7a4fbfa37760354634bbc86,https://www.treehugger.com/thmb/8DOr3PKFGm_0ugRLY94lPtu1mAg=/2048x2048/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__mnn__images__2018__05__two_dogs_share_stick-db101bee57ee4e3d94bc2214f580b653.jpg,Two {Animals} sharing a {Stick} and smiling together in an outdoor scene.
