image_hash,local_path,url_link,caption,download_ok
f9868284712a469955aeb5b9d08e0ceb,review/archive/images\f9868284712a469955aeb5b9d08e0ceb.jpg,https://us.123rf.com/450wm/serkucher/serkucher1908/serkucher190800310/128646993-a-playful-kitty-hides-in-a-white-box-the-cat-yawns-isolated-on-a-white-background.jpg?ver=6,Surprised {Animal} peering out from inside a {Enclosure}.,True
edf23f69af427b09355ed74545ec5e82,review/archive/images\edf23f69af427b09355ed74545ec5e82.jpg,"https://ih1.redbubble.net/image.269068340.1696/raf,360x360,075,t,fafafa:ca443f4786.jpg",A charming illustration featuring anthropomorphic {Fruits} with expressive faces and playful personalities.,True
f7b3ddc2bcca3461b9963a678c544437,review/archive/images\f7b3ddc2bcca3461b9963a678c544437.jpg,https://www.stylishtrendy.com/wp-content/uploads/2013/11/Christmas-Party-Ideas-2013-2014_03.jpg,"Artistic designs of {Object} shaped like a sleeping figure, with details like {Color}, {Accessories}, and {Background}.",True
ea77f0defff205ac0521c660b352d894,review/archive/images\ea77f0defff205ac0521c660b352d894.jpg,https://img.izismile.com/img/img5/20120830/640/a_collection_of_strange_but_cute_drawings_640_high_45.jpg,"""Illustration of {Fruit} anthropomorphized, showcasing emotional interactions with other {Animals} in playful or human-like scenarios.""",True
df2d61bdfb1747cc312dc5364084fc0d,review/archive/images\df2d61bdfb1747cc312dc5364084fc0d.jpg,https://i.pinimg.com/736x/62/1c/e9/621ce9b3841ceb123fedf4a577cbf7f7--barn-wedding-photos-funny-wedding-photos.jpg,"""Creative use of {Group} people positioned in front of {Background} to form an artistic or whimsical composition.""",True
efb0b0f0ec32a829a90eee37875c11e5,review/archive/images\efb0b0f0ec32a829a90eee37875c11e5.jpg,https://us.123rf.com/450wm/deagreez/deagreez1908/deagreez190808276/129431170-full-length-body-size-view-of-his-he-nice-attractive-stylish-funky-cheerful-cheery-glad-gray-haired-.jpg?ver=6,"Pictures showcasing {Person} in a {Color} environment, emphasizing their relaxed style and natural beauty.",True
f7f2191179e226b24aa8a20d9297f0f5,review/archive/images\f7f2191179e226b24aa8a20d9297f0f5.jpg,https://cdn.shopify.com/s/files/1/2297/0353/products/United-States-Map-Sticker_600x.jpg?v=1553216844,"An artistic depiction of {Region}'s iconic symbols and landmarks arranged within the map outline, highlighted by diverse {Color} and {Details}.",True
f5ad3175716acefc5b2599c2d4f213cb,review/archive/images\f5ad3175716acefc5b2599c2d4f213cb.jpg,http://static.boredpanda.com/blog/wp-content/uploads/2014/09/jimmy-choo-bull-terrier-illustrations-rafael-mantesso-6.jpg,Artistic fusion of a {Dog} and imaginative {Shape} for a playful and whimsical design.,True
e22288fadccfe610019bbd2edcd1e3c3,review/archive/images\e22288fadccfe610019bbd2edcd1e3c3.jpg,http://static.demilked.com/wp-content/uploads/2016/03/shelter-dogs-adopt-photo-project-humane-society-2.jpg,Different {Animals} showcasing unique {Expressions} and {Emotions} in their natural environments.,True
e0a675eccdee7edc34b1dfce71b01305,review/archive/images\e0a675eccdee7edc34b1dfce71b01305.jpg,https://img.izismile.com/img/img2/20090929/bonus//5/dogs_stars_wars_11.jpg,Animals dressed up as famous {Characters} in creative {Costumes}.,True
