item_id,section,decision,notes,hashes,similarity
conflict2::f7a829fad79772994d2abe53177f4e93::fbef00d09d05a527eb908a2dd887f44b,conflict_negative,accept,,"f7a829fad79772994d2abe53177f4e93,fbef00d09d05a527eb908a2dd887f44b",cosine similarity = 0.738
conflict2::f7a829fad79772994d2abe53177f4e93::e9d2e9e5b0da50f79bbeee819542b21e,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,e9d2e9e5b0da50f79bbeee819542b21e",cosine similarity = 0.711
conflict2::f7a829fad79772994d2abe53177f4e93::f7834e45e54bf1730c9beb37302baa5b,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,f7834e45e54bf1730c9beb37302baa5b",cosine similarity = 0.675
conflict2::f7a829fad79772994d2abe53177f4e93::e28673733d520615fa2d707df0ae63ea,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,e28673733d520615fa2d707df0ae63ea",cosine similarity = 0.661
conflict2::f7a829fad79772994d2abe53177f4e93::ee7f5a3836e221d28c962845e6143e61,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,ee7f5a3836e221d28c962845e6143e61",cosine similarity = 0.651
conflict2::f3c9463ad33ca289567c0c759a4f3a84::ec791918a8cbd2b9b06a5563802e4def,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,ec791918a8cbd2b9b06a5563802e4def",cosine similarity = 0.728
conflict2::f3c9463ad33ca289567c0c759a4f3a84::efcda0d0b8bad6595d7adfd806c527d7,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,efcda0d0b8bad6595d7adfd806c527d7",cosine similarity = 0.725
conflict2::f3c9463ad33ca289567c0c759a4f3a84::fc829af23e0fda1f62b5bbdbc9465c03,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,fc829af23e0fda1f62b5bbdbc9465c03",cosine similarity = 0.719
conflict2::f3c9463ad33ca289567c0c759a4f3a84::ffc21068bae9c8d86e9a4a7ca2a6c11e,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,ffc21068bae9c8d86e9a4a7ca2a6c11e",cosine similarity = 0.712
conflict2::f3c9463ad33ca289567c0c759a4f3a84::edd38ba03b58b3ad4fdce29ce6364c20,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,edd38ba03b58b3ad4fdce29ce6364c20",cosine similarity = 0.705
conflict2::f9575588fb765aac970bc1766efd47f6::e66ab0d2b48b421fa2419f896ed9e393,conflict_negative,reject,,"f9575588fb765aac970bc1766efd47f6,e66ab0d2b48b421fa2419f896ed9e393",cosine similarity = 0.702
conflict2::f9575588fb765aac970bc1766efd47f6::e7edc491e400dfd63ed69de5aefdc002,conflict_negative,accept,,"f9575588fb765aac970bc1766efd47f6,e7edc491e400dfd63ed69de5aefdc002",cosine similarity = 0.697
conflict2::f9575588fb765aac970bc1766efd47f6::f0c2705b60243cf812c2008908719e0a,conflict_negative,reject,,"f9575588fb765aac970bc1766efd47f6,f0c2705b60243cf812c2008908719e0a",cosine similarity = 0.677
conflict2::f9575588fb765aac970bc1766efd47f6::f1e0f42672aff1a50d9d7f3f8595739e,conflict_negative,reject,,"f9575588fb765aac970bc1766efd47f6,f1e0f42672aff1a50d9d7f3f8595739e",cosine similarity = 0.677
conflict2::f9575588fb765aac970bc1766efd47f6::ee84d45355ecb2bd035977cc28e1b32d,conflict_negative,reject,,"f9575588fb765aac970bc1766efd47f6,ee84d45355ecb2bd035977cc28e1b32d",cosine similarity = 0.670
conflict2::e4402b2e7348f555b141c775291a2957::ef6a50ecd634b80f208047ff2959d593,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,ef6a50ecd634b80f208047ff2959d593",cosine similarity = 0.827
conflict2::e4402b2e7348f555b141c775291a2957::e4a54c097e62d85c0c7a166b75b4fd1c,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,e4a54c097e62d85c0c7a166b75b4fd1c",cosine similarity = 0.778
conflict2::e4402b2e7348f555b141c775291a2957::ee14fa8b6597d211ce790ca99b555bd6,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,ee14fa8b6597d211ce790ca99b555bd6",cosine similarity = 0.778
conflict2::e4402b2e7348f555b141c775291a2957::ff779300982a7714c38bd064eee3e62f,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,ff779300982a7714c38bd064eee3e62f",cosine similarity = 0.767
conflict2::e4402b2e7348f555b141c775291a2957::ed6ce8947e893b4df62118d96f80e1bf,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,ed6ce8947e893b4df62118d96f80e1bf",cosine similarity = 0.762
conflict2::ed4e56476e4d0b60f47f65e85f6f64cb::e6598661363f0501e69101ee159e317b,conflict_negative,accept,,"ed4e56476e4d0b60f47f65e85f6f64cb,e6598661363f0501e69101ee159e317b",cosine similarity = 0.874
conflict2::ed4e56476e4d0b60f47f65e85f6f64cb::eb8632cb2faa7376682df73f01c99fce,conflict_negative,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,eb8632cb2faa7376682df73f01c99fce",cosine similarity = 0.785
conflict2::ed4e56476e4d0b60f47f65e85f6f64cb::f053de6fca4190f2f7578a83daa3547c,conflict_negative,accept,,"ed4e56476e4d0b60f47f65e85f6f64cb,f053de6fca4190f2f7578a83daa3547c",cosine similarity = 0.778
conflict2::ed4e56476e4d0b60f47f65e85f6f64cb::f41ac4c9320a5cdd405a68c1c09e9081,conflict_negative,accept,,"ed4e56476e4d0b60f47f65e85f6f64cb,f41ac4c9320a5cdd405a68c1c09e9081",cosine similarity = 0.774
conflict2::ed4e56476e4d0b60f47f65e85f6f64cb::e526fff8e61310f5b842aeace81bf054,conflict_negative,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,e526fff8e61310f5b842aeace81bf054",cosine similarity = 0.766
conflict2::e255b2c5d74978e6e5e70df7e43836d0::f14eed629c671ca320414b7bed2dc430,conflict_negative,accept,,"e255b2c5d74978e6e5e70df7e43836d0,f14eed629c671ca320414b7bed2dc430",cosine similarity = 0.757
conflict2::e255b2c5d74978e6e5e70df7e43836d0::eb8632cb2faa7376682df73f01c99fce,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,eb8632cb2faa7376682df73f01c99fce",cosine similarity = 0.742
conflict2::e255b2c5d74978e6e5e70df7e43836d0::ef6a50ecd634b80f208047ff2959d593,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,ef6a50ecd634b80f208047ff2959d593",cosine similarity = 0.735
conflict2::e255b2c5d74978e6e5e70df7e43836d0::f15b2be8b9f85a5ab560c727601890fe,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,f15b2be8b9f85a5ab560c727601890fe",cosine similarity = 0.719
conflict2::e255b2c5d74978e6e5e70df7e43836d0::f031e895edd4b2c1781f776827f8b849,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,f031e895edd4b2c1781f776827f8b849",cosine similarity = 0.716
conflict2::e291af82274868828f158594ef94fb55::f5864c9e910783edf9494ec8931d9e2d,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,f5864c9e910783edf9494ec8931d9e2d",cosine similarity = 0.767
conflict2::e291af82274868828f158594ef94fb55::e526fff8e61310f5b842aeace81bf054,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,e526fff8e61310f5b842aeace81bf054",cosine similarity = 0.724
conflict2::e291af82274868828f158594ef94fb55::e39975585e8a0b284aa2cf30544a6b4b,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,e39975585e8a0b284aa2cf30544a6b4b",cosine similarity = 0.698
conflict2::e291af82274868828f158594ef94fb55::fc4fa301b0641ff631e0b3b225fcf9c9,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,fc4fa301b0641ff631e0b3b225fcf9c9",cosine similarity = 0.684
conflict2::e291af82274868828f158594ef94fb55::f8a6c5cbf5bf73168b9d24964898fafa,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,f8a6c5cbf5bf73168b9d24964898fafa",cosine similarity = 0.683
conflict2::f54e3fefe4206f79a3b37bfac1db08c8::eb8632cb2faa7376682df73f01c99fce,conflict_negative,reject,,"f54e3fefe4206f79a3b37bfac1db08c8,eb8632cb2faa7376682df73f01c99fce",cosine similarity = 0.863
conflict2::f54e3fefe4206f79a3b37bfac1db08c8::e6598661363f0501e69101ee159e317b,conflict_negative,accept,,"f54e3fefe4206f79a3b37bfac1db08c8,e6598661363f0501e69101ee159e317b",cosine similarity = 0.851
conflict2::f54e3fefe4206f79a3b37bfac1db08c8::f14eed629c671ca320414b7bed2dc430,conflict_negative,accept,,"f54e3fefe4206f79a3b37bfac1db08c8,f14eed629c671ca320414b7bed2dc430",cosine similarity = 0.829
conflict2::f54e3fefe4206f79a3b37bfac1db08c8::f053de6fca4190f2f7578a83daa3547c,conflict_negative,accept,,"f54e3fefe4206f79a3b37bfac1db08c8,f053de6fca4190f2f7578a83daa3547c",cosine similarity = 0.799
conflict2::f54e3fefe4206f79a3b37bfac1db08c8::ee7f5a3836e221d28c962845e6143e61,conflict_negative,reject,,"f54e3fefe4206f79a3b37bfac1db08c8,ee7f5a3836e221d28c962845e6143e61",cosine similarity = 0.767
conflict2::df567ccf0076cfe15dc758ce5179fc77::e9d2e9e5b0da50f79bbeee819542b21e,conflict_negative,reject,,"df567ccf0076cfe15dc758ce5179fc77,e9d2e9e5b0da50f79bbeee819542b21e",cosine similarity = 0.803
