item_id,section,decision,notes,hashes,similarity
aligned3::ebd67189cf79d3ab02d0a14cbb5c4247::ec08493b332e34f67466a3e600de4cd6,aligned_pair,accept,,"ebd67189cf79d3ab02d0a14cbb5c4247,ec08493b332e34f67466a3e600de4cd6",cosine similarity = 0.625
aligned3::e2b56cd05fa912ab335f96a8fb2657fa::ebd67189cf79d3ab02d0a14cbb5c4247,aligned_pair,reject,,"e2b56cd05fa912ab335f96a8fb2657fa,ebd67189cf79d3ab02d0a14cbb5c4247",cosine similarity = 0.548
aligned3::e904143f44ac932184d3c1ccea64e6d2::ebd67189cf79d3ab02d0a14cbb5c4247,aligned_pair,reject,,"e904143f44ac932184d3c1ccea64e6d2,ebd67189cf79d3ab02d0a14cbb5c4247",cosine similarity = 0.534
aligned3::ebd67189cf79d3ab02d0a14cbb5c4247::fc2bf3aab1dcf38bf64d3ec4913279b2,aligned_pair,reject,,"ebd67189cf79d3ab02d0a14cbb5c4247,fc2bf3aab1dcf38bf64d3ec4913279b2",cosine similarity = 0.496
aligned3::ebd67189cf79d3ab02d0a14cbb5c4247::ecaa7d8a1fdadef8f3220cbd6dd7451e,aligned_pair,reject,,"ebd67189cf79d3ab02d0a14cbb5c4247,ecaa7d8a1fdadef8f3220cbd6dd7451e",cosine similarity = 0.495
aligned3::e69ba9d3cb34cd1b8326d6eff7c291df::ee75ff67be9685d5e0f8f83c519954c1,aligned_pair,accept,,"e69ba9d3cb34cd1b8326d6eff7c291df,ee75ff67be9685d5e0f8f83c519954c1",cosine similarity = 0.937
aligned3::ee75ff67be9685d5e0f8f83c519954c1::f66cdd771f2f7cd83ce4427dd1579568,aligned_pair,reject,,"ee75ff67be9685d5e0f8f83c519954c1,f66cdd771f2f7cd83ce4427dd1579568",cosine similarity = 0.746
aligned3::ee75ff67be9685d5e0f8f83c519954c1::f8a206e15af169b1b0ba608a9e14f757,aligned_pair,reject,,"ee75ff67be9685d5e0f8f83c519954c1,f8a206e15af169b1b0ba608a9e14f757",cosine similarity = 0.561
aligned3::ee75ff67be9685d5e0f8f83c519954c1::f6875b4ab38c43cc05aadde4063d41b5,aligned_pair,reject,,"ee75ff67be9685d5e0f8f83c519954c1,f6875b4ab38c43cc05aadde4063d41b5",cosine similarity = 0.508
aligned3::ebb0a441f27c21308e90b6f3f9ab0d3f::f66cdd771f2f7cd83ce4427dd1579568,aligned_pair,reject,,"ebb0a441f27c21308e90b6f3f9ab0d3f,f66cdd771f2f7cd83ce4427dd1579568",cosine similarity = 0.557
aligned3::ebb0a441f27c21308e90b6f3f9ab0d3f::fc2bf3aab1dcf38bf64d3ec4913279b2,aligned_pair,reject,,"ebb0a441f27c21308e90b6f3f9ab0d3f,fc2bf3aab1dcf38bf64d3ec4913279b2",cosine similarity = 0.511
aligned3::f66cdd771f2f7cd83ce4427dd1579568::fd170b47807317844cf1df55b1bce272,aligned_pair,reject,,"f66cdd771f2f7cd83ce4427dd1579568,fd170b47807317844cf1df55b1bce272",cosine similarity = 0.795
