item_id,section,decision,notes,hashes,similarity
conflict::ebd67189cf79d3ab02d0a14cbb5c4247::e9d0b657232b556bb9d30fd89888435c,conflict_negative,reject,,"ebd67189cf79d3ab02d0a14cbb5c4247,e9d0b657232b556bb9d30fd89888435c",cosine similarity = 0.647 (rank 1/5)
conflict::ebd67189cf79d3ab02d0a14cbb5c4247::ea184053f2b9fb4e2cf2f617e5d1c25f,conflict_negative,accept,,"ebd67189cf79d3ab02d0a14cbb5c4247,ea184053f2b9fb4e2cf2f617e5d1c25f",cosine similarity = 0.641 (rank 2/5)
conflict::ebd67189cf79d3ab02d0a14cbb5c4247::f9868284712a469955aeb5b9d08e0ceb,conflict_negative,accept,,"ebd67189cf79d3ab02d0a14cbb5c4247,f9868284712a469955aeb5b9d08e0ceb",cosine similarity = 0.637 (rank 3/5)
conflict::ebd67189cf79d3ab02d0a14cbb5c4247::e931ad974af313e1999d4d76a073da78,conflict_negative,accept,,"ebd67189cf79d3ab02d0a14cbb5c4247,e931ad974af313e1999d4d76a073da78",cosine similarity = 0.634 (rank 4/5)
conflict::ebd67189cf79d3ab02d0a14cbb5c4247::f9a513c153a0dbecd1973de3a55e70ea,conflict_negative,accept,,"ebd67189cf79d3ab02d0a14cbb5c4247,f9a513c153a0dbecd1973de3a55e70ea",cosine similarity = 0.626 (rank 5/5)
conflict::f7a829fad79772994d2abe53177f4e93::f9e159e97723f6fdb3a8dc55692c1954,conflict_negative,accept,,"f7a829fad79772994d2abe53177f4e93,f9e159e97723f6fdb3a8dc55692c1954",cosine similarity = 0.800 (rank 1/5)
conflict::f7a829fad79772994d2abe53177f4e93::ed45599d9891ca0fcf1a00a94616b261,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,ed45599d9891ca0fcf1a00a94616b261",cosine similarity = 0.748 (rank 2/5)
conflict::f7a829fad79772994d2abe53177f4e93::eeac8a2244faceedd3a4f96bc156a8e4,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,eeac8a2244faceedd3a4f96bc156a8e4",cosine similarity = 0.738 (rank 3/5)
conflict::f7a829fad79772994d2abe53177f4e93::f436407c7327b61dd5d50424323fb0b6,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,f436407c7327b61dd5d50424323fb0b6",cosine similarity = 0.681 (rank 4/5)
conflict::f7a829fad79772994d2abe53177f4e93::f80a40b6e61d3c2f7bcbae17bace605c,conflict_negative,reject,,"f7a829fad79772994d2abe53177f4e93,f80a40b6e61d3c2f7bcbae17bace605c",cosine similarity = 0.673 (rank 5/5)
conflict::e255b2c5d74978e6e5e70df7e43836d0::ee7f5a3836e221d28c962845e6143e61,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,ee7f5a3836e221d28c962845e6143e61",cosine similarity = 0.760 (rank 1/5)
conflict::e255b2c5d74978e6e5e70df7e43836d0::f435fdd06b5644f24cd3eebe6d0fd8dc,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,f435fdd06b5644f24cd3eebe6d0fd8dc",cosine similarity = 0.754 (rank 2/5)
conflict::e255b2c5d74978e6e5e70df7e43836d0::e78219c9cccc2ef4266c56a4fd31112a,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,e78219c9cccc2ef4266c56a4fd31112a",cosine similarity = 0.749 (rank 3/5)
conflict::e255b2c5d74978e6e5e70df7e43836d0::f830ec8072bfc1f64b8331d1d7f68803,conflict_negative,reject,,"e255b2c5d74978e6e5e70df7e43836d0,f830ec8072bfc1f64b8331d1d7f68803",cosine similarity = 0.722 (rank 4/5)
conflict::e255b2c5d74978e6e5e70df7e43836d0::fafba6a66cf67dfc260e01ddaf157b40,conflict_negative,,,"e255b2c5d74978e6e5e70df7e43836d0,fafba6a66cf67dfc260e01ddaf157b40",cosine similarity = 0.721 (rank 5/5)
conflict::efcda0d0b8bad6595d7adfd806c527d7::f872d497781fec2fc740f4e9f049934b,conflict_negative,reject,,"efcda0d0b8bad6595d7adfd806c527d7,f872d497781fec2fc740f4e9f049934b",cosine similarity = 0.827 (rank 1/5)
conflict::efcda0d0b8bad6595d7adfd806c527d7::e1e25461f7ca57af4995b2446dc4fa44,conflict_negative,reject,,"efcda0d0b8bad6595d7adfd806c527d7,e1e25461f7ca57af4995b2446dc4fa44",cosine similarity = 0.769 (rank 2/5)
conflict::efcda0d0b8bad6595d7adfd806c527d7::f0b31a2144d4386b5e6621ceec28ccf8,conflict_negative,reject,,"efcda0d0b8bad6595d7adfd806c527d7,f0b31a2144d4386b5e6621ceec28ccf8",cosine similarity = 0.759 (rank 3/5)
conflict::efcda0d0b8bad6595d7adfd806c527d7::f8a6c5cbf5bf73168b9d24964898fafa,conflict_negative,reject,,"efcda0d0b8bad6595d7adfd806c527d7,f8a6c5cbf5bf73168b9d24964898fafa",cosine similarity = 0.751 (rank 4/5)
conflict::efcda0d0b8bad6595d7adfd806c527d7::ffa987a1f206775186ba4b83aa1956ec,conflict_negative,reject,,"efcda0d0b8bad6595d7adfd806c527d7,ffa987a1f206775186ba4b83aa1956ec",cosine similarity = 0.747 (rank 5/5)
conflict::f60da86eb72ac291f909bb02b02ce9ff::ead3ca6cd177fe2c121f51cdf4768bf5,conflict_negative,reject,,"f60da86eb72ac291f909bb02b02ce9ff,ead3ca6cd177fe2c121f51cdf4768bf5",cosine similarity = 0.750 (rank 1/5)
conflict::f60da86eb72ac291f909bb02b02ce9ff::f5ad3175716acefc5b2599c2d4f213cb,conflict_negative,reject,,"f60da86eb72ac291f909bb02b02ce9ff,f5ad3175716acefc5b2599c2d4f213cb",cosine similarity = 0.747 (rank 2/5)
conflict::f60da86eb72ac291f909bb02b02ce9ff::f6b27f58c459342d805416139ba7aaeb,conflict_negative,reject,,"f60da86eb72ac291f909bb02b02ce9ff,f6b27f58c459342d805416139ba7aaeb",cosine similarity = 0.728 (rank 3/5)
conflict::f60da86eb72ac291f909bb02b02ce9ff::e9d0b657232b556bb9d30fd89888435c,conflict_negative,reject,,"f60da86eb72ac291f909bb02b02ce9ff,e9d0b657232b556bb9d30fd89888435c",cosine similarity = 0.727 (rank 4/5)
conflict::f60da86eb72ac291f909bb02b02ce9ff::df8a7aadeb1cedf65ac7e7251c2a9453,conflict_negative,reject,,"f60da86eb72ac291f909bb02b02ce9ff,df8a7aadeb1cedf65ac7e7251c2a9453",cosine similarity = 0.727 (rank 5/5)
conflict::e0fa6b5ae10efedbd0d7132ab05cf39f::f93304d0964a3be6e870fa1726901639,conflict_negative,accept,,"e0fa6b5ae10efedbd0d7132ab05cf39f,f93304d0964a3be6e870fa1726901639",cosine similarity = 0.797 (rank 1/5)
conflict::e0fa6b5ae10efedbd0d7132ab05cf39f::ec0753d78576da91a15bff7d7c9a7311,conflict_negative,accept,,"e0fa6b5ae10efedbd0d7132ab05cf39f,ec0753d78576da91a15bff7d7c9a7311",cosine similarity = 0.766 (rank 2/5)
