item_id,section,decision,notes,hashes,similarity
aligned2comp::f3b7f230282e4d94752423bd1dd5cd24::f7a829fad79772994d2abe53177f4e93,aligned_pair,reject,,"f3b7f230282e4d94752423bd1dd5cd24,f7a829fad79772994d2abe53177f4e93",cosine similarity = 0.731
aligned2comp::e2c548634699e005593eff2f73406127::f7a829fad79772994d2abe53177f4e93,aligned_pair,reject,,"e2c548634699e005593eff2f73406127,f7a829fad79772994d2abe53177f4e93",cosine similarity = 0.662
aligned2comp::f7a29de93eda4fe16ad3de37aa5fe409::f7a829fad79772994d2abe53177f4e93,aligned_pair,reject,,"f7a29de93eda4fe16ad3de37aa5fe409,f7a829fad79772994d2abe53177f4e93",cosine similarity = 0.655
aligned2comp::ebb5408257fe0b7ddad9ca0ccbd9a3d8::f7a829fad79772994d2abe53177f4e93,aligned_pair,reject,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,f7a829fad79772994d2abe53177f4e93",cosine similarity = 0.641
aligned2comp::ed4e56476e4d0b60f47f65e85f6f64cb::f7a829fad79772994d2abe53177f4e93,aligned_pair,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,f7a829fad79772994d2abe53177f4e93",cosine similarity = 0.624
aligned2comp::f00c22c8e3adf8001d0c0d59b8db7c61::f7a829fad79772994d2abe53177f4e93,aligned_pair,reject,,"f00c22c8e3adf8001d0c0d59b8db7c61,f7a829fad79772994d2abe53177f4e93",cosine similarity = 0.624
aligned2comp::e9bbae0e4f3ead3060b916e63593ad9d::f7a829fad79772994d2abe53177f4e93,aligned_pair,reject,,"e9bbae0e4f3ead3060b916e63593ad9d,f7a829fad79772994d2abe53177f4e93",cosine similarity = 0.624
aligned2comp::e2c548634699e005593eff2f73406127::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,accept,,"e2c548634699e005593eff2f73406127,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.710
aligned2comp::e8827721df325f4fc220b1d339e894ab::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,reject,,"e8827721df325f4fc220b1d339e894ab,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.653
aligned2comp::ece780da732cddd0812c30257270852a::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,reject,,"ece780da732cddd0812c30257270852a,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.652
aligned2comp::ebb5408257fe0b7ddad9ca0ccbd9a3d8::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,reject,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.649
aligned2comp::f00c22c8e3adf8001d0c0d59b8db7c61::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,reject,,"f00c22c8e3adf8001d0c0d59b8db7c61,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.645
aligned2comp::e97285c45babdf9add84a947460ca199::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,reject,,"e97285c45babdf9add84a947460ca199,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.637
aligned2comp::ed4e56476e4d0b60f47f65e85f6f64cb::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.635
aligned2comp::f3b7f230282e4d94752423bd1dd5cd24::f3c9463ad33ca289567c0c759a4f3a84,aligned_pair,reject,,"f3b7f230282e4d94752423bd1dd5cd24,f3c9463ad33ca289567c0c759a4f3a84",cosine similarity = 0.634
aligned2comp::f7a29de93eda4fe16ad3de37aa5fe409::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"f7a29de93eda4fe16ad3de37aa5fe409,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.736
aligned2comp::ebb5408257fe0b7ddad9ca0ccbd9a3d8::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.691
aligned2comp::e8827721df325f4fc220b1d339e894ab::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"e8827721df325f4fc220b1d339e894ab,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.672
aligned2comp::e7c44a402383f0881f075fa7fdde6888::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"e7c44a402383f0881f075fa7fdde6888,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.672
aligned2comp::e2c548634699e005593eff2f73406127::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"e2c548634699e005593eff2f73406127,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.669
aligned2comp::ece780da732cddd0812c30257270852a::f9575588fb765aac970bc1766efd47f6,aligned_pair,accept,,"ece780da732cddd0812c30257270852a,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.659
aligned2comp::f00c22c8e3adf8001d0c0d59b8db7c61::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"f00c22c8e3adf8001d0c0d59b8db7c61,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.654
aligned2comp::e9bbae0e4f3ead3060b916e63593ad9d::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"e9bbae0e4f3ead3060b916e63593ad9d,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.634
aligned2comp::e602b6e92f6c54573e1bb4ad48667e69::f9575588fb765aac970bc1766efd47f6,aligned_pair,reject,,"e602b6e92f6c54573e1bb4ad48667e69,f9575588fb765aac970bc1766efd47f6",cosine similarity = 0.623
