case_type,triplet_id,relation_family,anchor_caption,anchor_local_path,positive_caption,positive_local_path,negative_caption,negative_local_path
relsim_only_correct,conflict_comp_ef627e29_e6598661,compositional_formation,A gathering of {People} forming a {Shape}.,review/archive/images\ef627e29095ef3964e0e9681577c4868.jpg,"A circular arrangement of {Objects} categorized by their {Type}, {Theme}, or {Characteristics}.",review/archive/images\f00c22c8e3adf8001d0c0d59b8db7c61.jpg,A heart-shaped {Tree} rising from a {Background} to embody love or nature.,review/archive/images\e6598661363f0501e69101ee159e317b.jpg
relsim_only_correct,conflict_comp_ef627e29_effa9ae0,compositional_formation,A gathering of {People} forming a {Shape}.,review/archive/images\ef627e29095ef3964e0e9681577c4868.jpg,"A circular arrangement of {Objects} categorized by their {Type}, {Theme}, or {Characteristics}.",review/archive/images\f00c22c8e3adf8001d0c0d59b8db7c61.jpg,"""360-degree view of {Landscapes} or {Structures} in a spherical panorama, showcasing {Scenery} from all angles.""",review/archive/images\effa9ae0fa5da83de8d07260db84bcac.jpg
relsim_only_correct,conflict_comp_f00c22c8_f031e302,compositional_formation,"A circular arrangement of {Objects} categorized by their {Type}, {Theme}, or {Characteristics}.",review/archive/images\f00c22c8e3adf8001d0c0d59b8db7c61.jpg,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.,review/archive/images\f3b7f230282e4d94752423bd1dd5cd24.jpg,Creative illustrations featuring {Fruits} or {Vegetables} with human-like faces and expressive emotions.,review/archive/images\f031e302107087880f5c64cee7fb37ca.jpg
relsim_only_correct,conflict_comp_f00c22c8_fc385887,compositional_formation,"A circular arrangement of {Objects} categorized by their {Type}, {Theme}, or {Characteristics}.",review/archive/images\f00c22c8e3adf8001d0c0d59b8db7c61.jpg,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.,review/archive/images\f3b7f230282e4d94752423bd1dd5cd24.jpg,The transformation of {Whole Object} into multiple {Pieces/Segments} is shown through the use of {Tool/Action}.,review/archive/images\fc385887524ecc8a2d6d0e090e63afa2.jpg
relsim_only_correct,conflict_comp_f3c9463a_f8a6c5cb,compositional_formation,A creative arrangement of {Balloon} shaped like a {Object}.,review/archive/images\f3c9463ad33ca289567c0c759a4f3a84.jpg,A creative display of {Flowers} forming a {Symbol}.,review/archive/images\f54e3fefe4206f79a3b37bfac1db08c8.jpg,"Creative depictions of {Object} that mimic motion, showing the trajectory of {Objects} as they interact with each other in a visual way.",review/archive/images\f8a6c5cbf5bf73168b9d24964898fafa.jpg
relsim_only_correct,conflict_comp_f3c9463a_fafba6a6,compositional_formation,A creative arrangement of {Balloon} shaped like a {Object}.,review/archive/images\f3c9463ad33ca289567c0c759a4f3a84.jpg,A creative display of {Flowers} forming a {Symbol}.,review/archive/images\f54e3fefe4206f79a3b37bfac1db08c8.jpg,"A visual representation of {Object} interacting with {Floating Elements}, emphasizing the concept of {Action}.",review/archive/images\fafba6a66cf67dfc260e01ddaf157b40.jpg
relsim_only_correct,conflict_comp_f7a829fa_f9e159e9,compositional_formation,A creative use of {Creative Object} made from {Ingredients} on a {Surface}.,review/archive/images\f7a829fad79772994d2abe53177f4e93.jpg,Artistic arrangements of {Fruit} and {Vegetables} shaped into the forms of various {Characters}.,review/archive/images\f9575588fb765aac970bc1766efd47f6.jpg,"Beautiful latte art patterns made with {Flavor} and {Milk}, showcasing intricate designs like {Theme} in a {Container}.",review/archive/images\f9e159e97723f6fdb3a8dc55692c1954.jpg
relsim_only_correct,conflict_comp_ff94486f_e292802c,compositional_formation,An intricately folded {Paper} origami creation shaped like a {Character/Animal}.,review/archive/images\ff94486f2fb662ef963bb3c9d62a8e65.jpg,Creative use of {Objects} to form a {Shape}.,review/archive/images\df567ccf0076cfe15dc758ce5179fc77.jpg,Animals sporting {Accessory} to look like they're wearing {Style},review/archive/images\e292802cdb81357577a1e87346fe76a5.jpg
relsim_only_correct,conflict_temp_df060e26_ef9cce39,temporal_transformation,"Step-by-step {Process} presented through four sequential stages: {Initial State}, {Transformation 1}, {Transformation 2}, {Final Outcome}, highlighted by evolving {Details} and {Textures}.",review/archive/images\df060e263ffcb757d257f8e7e61aaad4.jpg,"A transformation story of {Subject} from its initial state to a refined, enhanced version, emphasizing changes in {Appearance}, {Design}, or {Function}.",review/archive/images\e0077c41c38d5e6857a4d343c0cbc889.jpg,A one-point perspective drawing showcasing {Drawing} with depth and realistic proportions using {Tools} and {Paper}.,review/archive/images\ef9cce39539e6545635d41013855be35.jpg
relsim_only_correct,conflict_temp_e0077c41_ea131676,temporal_transformation,"A transformation story of {Subject} from its initial state to a refined, enhanced version, emphasizing changes in {Appearance}, {Design}, or {Function}.",review/archive/images\e0077c41c38d5e6857a4d343c0cbc889.jpg,"A series of images showcasing {Action} performed by a {Person} with a {Object}, highlighting the progression of {Motion}.",review/archive/images\e0fa6b5ae10efedbd0d7132ab05cf39f.jpg,"Reflective water surfaces highlight symmetrical arrangements of {Buildings} in a row, producing clean and mirrored designs.",review/archive/images\ea131676b6beb34de454ae471060899b.jpg
relsim_only_correct,conflict_temp_e0077c41_eb354b76,temporal_transformation,"A transformation story of {Subject} from its initial state to a refined, enhanced version, emphasizing changes in {Appearance}, {Design}, or {Function}.",review/archive/images\e0077c41c38d5e6857a4d343c0cbc889.jpg,"A series of images showcasing {Action} performed by a {Person} with a {Object}, highlighting the progression of {Motion}.",review/archive/images\e0fa6b5ae10efedbd0d7132ab05cf39f.jpg,"A collection of diverse {Objects} highlighting unique designs, patterns, and tones in an artistic arrangement.",review/archive/images\eb354b7696549fd097a044a80db7828f.jpg
relsim_only_correct,conflict_temp_ea142066_e995bf12,temporal_transformation,Step-by-step guide on transforming {Recycled Material} into an elegant {Object}.,review/archive/images\ea1420666aa1e3fa5fb6b25561688fff.jpg,"Hand-drawn design for {Character/Object} transformed into a physical prototype, displayed alongside its sketch.",review/archive/images\ea7b131201f4ec87f23caade7326f630.jpg,"""Process of drawing and coloring a detailed {Subject} using a reference {Object} for precise details.""",review/archive/images\e995bf12825a7c078c81d0285370e5c9.jpg
relsim_only_correct,conflict_temp_ea7b1312_e9b34df4,temporal_transformation,"Hand-drawn design for {Character/Object} transformed into a physical prototype, displayed alongside its sketch.",review/archive/images\ea7b131201f4ec87f23caade7326f630.jpg,"The transformation of {Ingredient} into {Product} shown through stages: {Raw Material}, {Processed Form}, {Finished Item}",review/archive/images\ebb0a441f27c21308e90b6f3f9ab0d3f.jpg,Creative representation of {Human Characters} interacting with {Animals} in artistic and imaginative styles.,review/archive/images\e9b34df47d5603d8e1219d9fc02039f1.jpg
relsim_only_correct,conflict_temp_ea7b1312_f104ebeb,temporal_transformation,"Hand-drawn design for {Character/Object} transformed into a physical prototype, displayed alongside its sketch.",review/archive/images\ea7b131201f4ec87f23caade7326f630.jpg,"The transformation of {Ingredient} into {Product} shown through stages: {Raw Material}, {Processed Form}, {Finished Item}",review/archive/images\ebb0a441f27c21308e90b6f3f9ab0d3f.jpg,A unique design showing {Animal 1} with its head merged into the body of {Animal 2}.,review/archive/images\f104ebebe210b9a7cb9addedc0d03100.jpg
