image_hash,url_link,caption,relation_type
7ed4da2fa6e5a55cdf4cc66d47dd4f47,https://www.bruceclay.com/wp-content/uploads/2020/05/plug-bot-800px.jpg,Artwork of {Object} with a cheerful face and expressive features.,
90849f89066ec0de406f2296c9ee7aa0,https://cdn.abclocal.go.com/content/ktrk/images/cms/automation/vod/1687676_1280x720.jpg,"A scene featuring {Uniformed Soldiers} in formal attire, with one of them performing a gesture of respect or admiration.",
d1b54704f2c2407b4252835b28e748d0,http://www.streetandstage.com/wp-content/uploads/2011/03/fuji_superia_1600_032011017-Edit.jpg,"""Artistic representation of a {Person} breaking through a {Surface} with dynamic motion captured in mid-action.""",
6c501083a96d348c2427d4e73b7ff95c,https://64.media.tumblr.com/tumblr_mcxpl4GhUH1rp9lbfo1_400.jpg,Unique boats shaped like {Object} floating on water.,
a6692b3c62625fd8c0341520eed36b89,https://i1.wp.com/temita.jp/wp-content/uploads/2015/08/people-having-fun-with-statues-45.jpg?resize=600%2C664,Artistic depictions of {Scene} where {People} interact with {Objects} in unconventional and imaginative ways.,
83bbcdeafc38a92414c13d164885d645,https://ct.liveyourtruth.com/wp-content/uploads/2019/07/3-Steps-to-Protect-Yourself-from-Other%E2%80%99s-Toxic-Energy-780x521.jpg,"Visual representation of a {Object} standing out among others due to its unique {Color}, {Shape}, or {Feature}.",
9c05bdfd250e150b3d30eaea5e76f604,https://us.123rf.com/450wm/cobalt/cobalt1012/cobalt101200030/8447505-pearls-realistic-illustration.jpg?ver=6,"""Examples of {Object} in various {Colors} with differences in {Shape} and {Texture}.""",
af71abf85752986be671e3bc086f7df5,https://www.musher-experience.com/wp-content/uploads/2016/10/Funny-Jumping-Dogs-Series-10.jpeg,Snapshots of {Subject} captured mid-air during dynamic jumps or leaps.,
7dfa626a24e15be3be2997a0c75ffab3,https://us.123rf.com/450wm/anetlanda/anetlanda1804/anetlanda180401226/114909316-music-singing-concept-blonde-musically-talented-woman-holding-electric-guitar-on-black-background.jpg?ver=6,Intricate visual merging of {Object 1} and {Object 2} forming a unique {Shape}.,
09e1ff650a42713d2f3b9e3cc9e52ae9,https://cdn2.picryl.com/photo/2014/05/09/tract-2-frame-drop-test-at-nasa-langley-research-centers-landin-d6fb63-1024.jpg,The {Equipment} is carefully lifted using a {Lifting Device} for transport or relocation.,
c3e38d666d637678ee4f97351dc34deb,https://i.pinimg.com/736x/95/34/dc/9534dc8290b9f3092d26f087e09981f9--black-phone-wallpaper-tumblr-iphone-wallpaper.jpg,"""Representation of {Object} combining elements of {Yin} and {Yang} to symbolize balance and duality in {Context}"".",
16d56c66779b2f4198f02231fc5ac4c7,https://cdn03.plentymarkets.com/58wt672estda/item/images/233338/secondPreview/Glasbild-Bebrillte-Tiere-Eule-Quadrat-1-1-233338_4.jpg,A {Animal} with a {Accessory} added for a quirky look.,
28f2d5745f3c953873661ac04dccc4b4,https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/planet-tripler-dan-mcmanus.jpg,A 360-degree view of {Landscape/Urban Environment} shown in a tiny planet format.,
4f29c74e96b22d56782389fecf540418,https://us.123rf.com/450wm/adam121/adam1211610/adam121161002745/64570650-young-woman-flying-high-in-blue-sky.jpg?ver=6,"A scene of {People} with {Wings}, floating in the air above a {Cityscape}.",
d1b80a532a2336ec9cea770c9d7c040d,http://tse4.mm.bing.net/th?id=OIP.b4GMaBFE4zgXVhkGpy6gtQHaEQ,Step-by-step process of coloring in a {Character} illustration using {Color} and {Tool}.,
b04eea3eca34bc907a7d964238a237e2,https://www.dailydogtag.com/wp-content/uploads/2015/05/April-Ziegler-Photography-Boxer-Bunny-ears.jpg,Animals dressed as {Character} with {Props} for a playful or themed appearance.,
39e8d8fe73e347e3d8d627c20c2cbf1b,https://www.topteny.com/wp-content/uploads/2015/01/Christ-of-the-Abyss-at-San-Fruttuoso-Italy-near-Portofino.jpg,"A {Statue} of {Subject} submerged in water, surrounded by marine life and illuminated by sunlight.",
4993b19f5638fe7afbcffee02d285c53,https://justpaste.it/files/justpaste/pk01.jpg,"A scene where {Character} transforms a {Destructive Object} into a {Constructive Object}, symbolizing {Concept}.",
7711e24d040126c44316fa431bc24f6a,https://cdn11.bigcommerce.com/s-4192d/images/stencil/500x500/products/2469/15259/BEAR-LARGE-Lauren-Mortimer-ofcabbagesandkings__48388.1625156583.jpg?c=2,"""Artwork depicting a surreal pairing between an oversized {Animal} and a human-sized {Character} in a whimsical interaction.""",
6fd85bfd71dc26d4ff5fa811ebd2eaa3,"https://ih1.redbubble.net/image.660673795.3704/aps,504x498,small,transparent-pad,600x600,f8f8f8.u4.jpg","Depictions of anthropomorphic {Object 1} and {Object 2} holding hands, showcasing their relationship.",
662d697a8699eb18432b2734753e9f20,https://us.123rf.com/450wm/krisdog/krisdog1911/krisdog191100170/134309726-stock-vector-young-medical-doctor-super-hero-cartoon-mascot.jpg?ver=6,"Representation of {Person} with their {Occupation} shadow, showcasing their hidden {Role or Profession} identity.",
30275ce2c439db0c3a9d63012cd3d1bb,https://3.bp.blogspot.com/-iCYdWr29lLE/Va_LGdo67xI/AAAAAAAAi2Q/SbhL5oLFHe0/s1600/03-Martin-Freeman-Dr-John-Watson-Sherlock-Holmes-Muthahari-Insani-Beautifully-Detailed-Ink-Drawings-and-Doodles-www-designstack-co.jpg,A detailed illustration of a {Object} crafted through precise {Lines} on a {Surface}.,
92eb97f264850ac9202b14074f8ee10b,https://www.gannett-cdn.com/presto/2018/11/12/PNJM/28f5c0a1-8b8e-4730-bd0a-0822fec79221-GettyImages-856571658.jpg?width=540&height=&fit=bounds&auto=webp,"""Imaginative use of {Faces} and {Emojis} drawn on fingers to represent various {Emotions} or {Concepts}.""",
c22ef5e125f267404c441201931504f8,https://i.pinimg.com/736x/9b/f0/80/9bf08096fa8e112dd0d7855d785300d4--view-source.jpg,A unique creation made with {Fruit} to form a {Animal} figure.,
1da8a0b25ba0bbe51d5180c67c52c443,http://rlv.zcache.com/hoops_anyone_hamster_basketball_aceo_art_cards_business_card-r3b90257cb0234dd5890ba81d777f7e38_i57nz_8byvr_324.jpg,A creative drawing of a {Animal} interacting with a {Sport Equipment}.,
4e70c38d343288f144e27aa073c403c7,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-07/78fe99f0-cf56-11ea-8dd7-d133a3964477,A scene where a {Vehicle} is surrounded by a {Group of Animals} in a {Setting}.,
9cc3a2d4f45a244115ba0e102e803e59,"https://ctl.s6img.com/society6/img/AHv95isolmk3-7Lkp06Zc28Uxck/h_264,w_264/metal-prints/2x3/front/~artwork/s6-original-art-uploads/society6/uploads/misc/f38cc9c3da0d4487b3113dd5fb9ebd6c/~~/little-house-in-a-wooden-cart-metal-prints.jpg?wait=0&attempt=0","Unusual {Scene} blending surreal and realistic elements, with an unexpected pairing of {Object 1} and {Object 2} for a striking effect.",
9068d745647541816b1f4124fc9ebd31,https://www.city.ac.uk/__data/assets/image/0006/624282/varieties/breakpoint-max.jpg,The {Shape} formed by gathering {People} together.,
963e3dae779035cffa15738cc84ec655,https://fineartamerica.com/renderer/renderer.php?imgUrl=http://fineartamerica.com/images-medium-5/long-strange-trip-east-coast-barrier-islands-betsy-a-cutler.jpg&imgWI=8.00&imgHI=5.25&sku=111MBLK&mat1=PM3297&mat2=&t=2&b=2&l=2&r=2&off=0.5&paper=paper7&finish=ca18&mounttype=&gallerywrap=&frameW=0.375&maxW=500&maxH=700&&img=1387706953-99d435c291ced269b6cf358e4d0e79bd.jpg,Artwork depicting {Scene} with {Characters} and surreal elements like {Objects} or {Themes} integrated into their surroundings.,
bcbe4a325741f8bd04a1cfdbe48f5b92,https://ytimg.googleusercontent.com/vi/yh1RawtEDW4/hqdefault.jpg,"""Action shot capturing a {BMX Rider} performing a {Stunt} on their {BMX Bike} in a {Outdoor Setting}.""",
b330a67c169b2241b543b9f27c23719c,https://1.bp.blogspot.com/-cWISGGaNtBY/VVJeCsQmkVI/AAAAAAAAZEA/JGxVd3H3hvI/s640/andreaslie1.jpg,"""Double exposure of {Animal} blending with the natural environment featuring {Floral Element}.""",
ad20d0da81c25ec3452cc45023cf4a93,https://us.123rf.com/450wm/cteconsulting/cteconsulting1302/cteconsulting130200081/18025582-an-image-of-a-couch-potato-watching-tv-.jpg?ver=6,A portrayal of a {Living Thing} interacting with a {Non-Living Object} in a humorous and imaginative way.,
37bc82948f24c2a458784893ba1bfb48,http://d2jv9003bew7ag.cloudfront.net/uploads/Ilse-Gropius-sits-in-%E2%80%9CThe-Kandinsky%E2%80%9D-chair-by-Marcel-Breuer-1926-via-thecharnelhouse-org-865x577.jpg,Artistic portrayals featuring {Human Figure} with {Animal Features}.,
c017af4699db8f7c85fabef6581d8681,https://img.designswan.com/2015/04/Bolt/4.jpg,Artistic sculptures portraying {Figures} with unique blends of {Materials} and {Shapes}.,
4ea5c15b691add957df3e5bac9c41293,https://us.123rf.com/450wm/alexlmx/alexlmx1704/alexlmx170400384/76352565-birdcage-with-a-lightbulb-inside-3d-rendering-isolated-on-white-background.jpg?ver=6,An illustration of {Object} trapped inside a {Shape} to symbolize confinement or restriction.,
c72983761fe1d3bfa9c6b15e1b4b9ad0,https://www.gannett-cdn.com/presto/2018/11/19/PMJS/caca82e1-70af-4b5f-98e3-f646d68f8da5-IMG_3123.JPG?width=540&amp;height=405&amp;fit=bounds&amp;auto=webp,"A {Tree} with a {Hat} on top, symbolizing a playful touch to nature.",
693c1e35439c42529cb43a6ad203fbc7,https://i.chirkup.me/00/00/70/7091_728x.jpg,A {Human Hand} holding a {Animal} in an intimate and gentle manner.,
32f0ce654905006c32a4b5f51fcda15a,https://piximitmilch.at/wp-content/uploads/2016/08/Iced-Coffee-Brickmakers_PiximitMilch.jpg,Cleverly crafted {Food} designed as the face of a {Animal}.,
